@RELATION blinking

@ATTRIBUTE frames_since_experiment_started NUMERIC
@ATTRIBUTE frames_since_the_last_blink NUMERIC
@ATTRIBUTE is_blink NUMERIC
@ATTRIBUTE attention_level {True, False}
@DATA
30942,16176,1,True
30972,47148,0,True
31002,47178,0,True
31033,47209,0,True
31063,47239,0,True
31093,14908,1,True
31123,46031,0,True
31154,46062,0,True
31184,46092,0,False
31214,46122,0,False
31245,46153,0,True
31275,46183,0,True
31305,46213,0,True
31336,46244,0,True
31366,46274,0,True
31396,46304,0,True
31427,46335,0,False
31457,46365,0,True
31487,46395,0,True
31517,46425,0,True
31548,46456,0,True
31578,46486,0,True
31608,15114,1,True
31639,46753,0,True
31669,46783,0,False
31699,46813,0,False
31730,46844,0,False
31760,16645,1,False
31790,15146,1,True
31820,16679,1,True
31851,48530,0,True
31881,48560,0,True
31911,48590,0,True
31942,15259,1,True
31972,47231,0,True
32002,47261,0,False
32033,47292,0,False
32063,47322,0,False
32093,47352,0,False
32123,47382,0,False
32154,47413,0,False
32184,47443,0,False
32214,47473,0,True
32245,47504,0,True
32275,47534,0,False
32305,16907,1,True
32336,49243,0,False
32366,49273,0,False
32396,16947,1,False
32427,49374,0,False
32457,49404,0,False
32487,49434,0,False
32517,49464,0,False
32548,49495,0,False
32578,49525,0,False
32608,49555,0,False
32639,49586,0,False
32669,17077,1,False
32699,49776,0,False
32730,49807,0,False
32760,49837,0,False
32790,49867,0,False
32820,49897,0,False
32851,49928,0,False
32881,49958,0,False
32911,49988,0,False
32942,50019,0,False
32972,50049,0,False
33002,50079,0,False
33033,50110,0,False
33063,50140,0,False
33093,50170,0,False
33123,50200,0,False
33154,50231,0,False
33184,17077,0,False
33214,50291,0,False
33245,50322,0,False
33275,50352,0,False
33305,50382,0,False
33336,50413,0,False
33366,50443,0,False
33396,50473,0,False
33427,50504,0,False
33457,50534,0,False
33487,50564,0,False
33517,50594,0,False
33548,50625,0,False
34366,17168,1,False
34396,51564,0,False
34427,51595,0,False
34457,51625,0,False
34487,51655,0,False
34517,51685,0,False
34548,51716,0,False
34578,51746,0,False
34608,51776,0,False
34639,51807,0,False
34669,17303,1,False
34699,52002,0,False
34730,17427,1,False
34760,52187,0,False
34790,52217,0,False
34820,52247,0,False
34851,52278,0,False
34881,52308,0,False
34911,52338,0,False
34942,52369,0,False
34972,52399,0,False
35002,52429,0,False
35033,17595,1,False
35063,52658,0,False
35093,52688,0,False
35123,52718,0,False
35154,52749,0,False
35184,52779,0,False
35214,52809,0,False
35245,52840,0,True
35275,52870,0,True
35305,52900,0,False
35336,52931,0,False
35366,52961,0,False
35396,17759,1,False
35427,53186,0,False
35457,53216,0,False
35487,53246,0,False
35517,53276,0,False
35548,53307,0,False
35578,53337,0,False
35608,17842,1,True
35639,53481,0,True
35669,53511,0,True
35699,53541,0,False
35730,53572,0,False
35760,53602,0,False
35790,53632,0,False
35820,53662,0,False
35851,53693,0,True
35881,53723,0,True
35911,53753,0,True
35942,53784,0,True
35972,53814,0,True
36002,53844,0,True
36063,53905,0,True
36093,18013,1,True
36123,54136,0,False
36154,54167,0,True
36214,54227,0,True
36245,18239,1,True
36275,54514,0,True
36336,54575,0,False
36366,54605,0,True
36427,54666,0,True
36457,54696,0,True
36487,54726,0,True
36517,54756,0,True
36548,18391,1,True
36608,54999,0,True
36639,18252,1,True
36669,54921,0,True
36699,54951,0,True
36730,54982,0,True
36760,55012,0,True
36790,55042,0,True
36820,18327,1,True
36851,55178,0,True
36881,55208,0,True
36911,55238,0,True
36942,55269,0,True
36972,55299,0,True
37002,55329,0,True
37033,55360,0,False
37063,18440,1,False
37093,55533,0,False
37124,55564,0,True
37154,55594,0,True
37184,55624,0,True
37214,55654,0,True
37245,18808,1,True
37275,56083,0,True
37305,56113,0,True
37336,56144,0,True
37366,56174,0,True
37396,56204,0,True
37427,56235,0,True
37457,56265,0,True
37487,56295,0,True
37517,56325,0,False
37548,56356,0,False
37578,56386,0,True
37608,56416,0,True
37639,56447,0,True
37669,18942,1,True
37699,56641,0,True
37730,56672,0,True
37760,56702,0,True
37790,56732,0,True
37820,56762,0,True
37851,56793,0,True
37881,56823,0,True
37911,56853,0,True
37942,56884,0,True
37972,19049,1,True
38002,57051,0,True
38033,57082,0,True
38063,57112,0,True
38093,57142,0,True
38124,57173,0,True
38154,57203,0,True
38184,19166,1,True
38214,57380,0,True
38245,57411,0,True
38275,57441,0,True
38305,19148,1,True
38336,57484,0,True
38366,57514,0,True
38396,19257,1,True
38427,57684,0,True
38457,57714,0,True
38487,57744,0,True
38517,19256,1,True
38548,57804,0,True
38578,57834,0,True
38608,57864,0,True
38639,57895,0,True
38669,57925,0,True
38699,57955,0,True
38730,57986,0,True
38760,19384,1,True
38790,58174,0,True
38820,58204,0,True
38851,58235,0,True
38881,58265,0,True
38911,58295,0,True
38942,58326,0,True
38972,58356,0,True
39002,58386,0,True
39033,58417,0,True
39063,58447,0,True
39093,58477,0,True
39124,58508,0,True
39154,58538,0,True
39184,58568,0,True
39214,58598,0,True
39245,58629,0,True
39275,58659,0,True
39305,58689,0,True
39336,58720,0,True
39366,58750,0,True
39396,58780,0,True
39427,58811,0,True
39457,58841,0,True
39487,58871,0,True
39517,58901,0,True
39548,58932,0,True
39578,19831,1,True
39608,59439,0,True
39639,59470,0,True
39669,59500,0,True
39699,59530,0,True
39730,59561,0,True
39760,59591,0,True
39790,59621,0,True
39820,59651,0,True
39851,19956,1,True
39881,59837,0,True
39911,59867,0,True
39942,19990,1,True
39972,59962,0,True
40002,59992,0,True
40033,20045,1,True
40063,60108,0,True
40093,60138,0,True
40124,60169,0,True
40154,20105,1,True
40184,60289,0,True
40214,60319,0,True
40245,20134,1,True
40275,60409,0,True
40305,60439,0,True
40336,60470,0,True
40366,20230,1,True
40396,60626,0,True
40427,60657,0,True
40457,20228,1,True
40487,60715,0,True
40517,60745,0,True
40548,60776,0,True
40578,60806,0,True
40608,60836,0,True
40639,60867,0,True
40669,60897,0,True
40699,60927,0,True
40730,60958,0,True
40760,60988,0,True
40790,61018,0,True
40820,61048,0,True
40851,61079,0,True
40881,61109,0,True
40911,20482,1,True
40942,61424,0,True
40972,61454,0,True
41002,20523,1,True
41033,61556,0,False
41063,61586,0,False
41093,61616,0,False
41123,61646,0,False
41154,61677,0,True
41184,61707,0,True
41214,20628,1,True
41245,61873,0,True
41275,61903,0,True
41305,61933,0,True
41336,61964,0,True
41366,61994,0,True
41396,62024,0,True
41427,62055,0,True
41457,62085,0,True
41487,62115,0,True
41517,62145,0,True
41548,62176,0,True
41578,62206,0,False
110,110,0,True
140,140,0,True
170,170,0,True
201,201,0,True
231,231,0,False
261,261,0,False
292,292,0,False
322,322,0,False
352,352,0,False
382,382,0,False
413,413,0,False
443,443,0,False
473,473,0,False
504,504,0,True
534,534,0,True
564,564,0,True
